Addrcity,Addrfull,Amenity,Building,Capacitype,Name,Operatorty,Osm Id,School Level,Source,Geometry
Matiki,,school,,,Victory Nursery And Primary School,,4029554842,Primary,www.ubos.org,Point
Matingot,,school,,,Ngenbram Primary School,,4015591523,Primary,www.ubos.org,Point
Matongo Centre Lci,,school,,,Matongo Church of Uganda Primary School,,4032685335,Primary,www.ubos.org,Point
Matongo Centre Lci,,school,,,Mountain Everest Primary School,,4032685338,Primary,www.ubos.org,Point
Matovu A,,school,,,Matovu Moslem Primary School,,4029554793,Primary,www.ubos.org,Point
Matovu B,,school,,,New Hope Primary School,,4029554823,Primary,www.ubos.org,Point
Matsya 'a',,school,,,Matsya Primary School,,4035940228,Primary,www.ubos.org,Point
Matte,,school,,,Country View Secondaty School,,3969575296,Other,www.ubos.org,Point
Matte,,school,,,Mattee Primary School,,3969575341,Primary,www.ubos.org,Point
Matunda,,school,,,Mayiyi Primary School,,4035704298,Primary,www.ubos.org,Point
Matuwa,,school,,,Matuwa Primary School,,3998838070,Primary,www.ubos.org,Point
Matyama,,school,,,Makoma Primary School,,4029554789,Primary,www.ubos.org,Point
Maundo South,,school,,,Maundo Primary School,,4080555162,Primary,www.ubos.org,Point
Mavuvumira A,,school,,,Mavuvumira Primary School,,4030252877,Primary,www.ubos.org,Point
Mawa,,school,,,Busiula Church of God Primary School,,4030505949,Primary,www.ubos.org,Point
Mawa,,school,,,Child Development Centre,,4030505952,Other,www.ubos.org,Point
Mawa,,school,,,Paidha Bible School,,4010885957,Other,www.ubos.org,Point
Mawagala,,school,,,Mawagala Primary School,,4052756552,Primary,www.ubos.org,Point
Mawale,,school,,,Good Sherperd Primary School,,4029743967,Primary,www.ubos.org,Point
Mawale,,school,,,Good Sherperd Primary School,,4033983787,Primary,www.ubos.org,Point
Mawanga West,,school,,,Maanga Primary School,,4032651057,Primary,www.ubos.org,Point
Mawoito,,school,,,Bulowooza Primary School,,4077383532,Primary,www.ubos.org,Point
Mawoloba,,school,,,Saint Paul Buwogole C/u Primary School,,4013871365,Primary,www.ubos.org,Point
Mawonve,,school,,,Primary School,,4055560865,Primary,www.ubos.org,Point
Mawotto,,school,,,Katete Primary School,,4013902441,Primary,www.ubos.org,Point
Mawotto,,school,,,Tom and Margret Caroll Memorial Primary School,,4013902485,Primary,www.ubos.org,Point
Mawu,,school,,,Mawu Noah's Ark Early Childhood Development Centre,,4033985191,Other,www.ubos.org,Point
Mawululu,,school,,,Bumasobo Senior Secondary School,,3998799110,Secondary,www.ubos.org,Point
Mawululu,,school,,,Mawalulu Primary School,,3998799116,Primary,www.ubos.org,Point
Mawundo B,,school,,,Mawundo Church of Uganda Primary School,,4077383565,Primary,www.ubos.org,Point
Mawundwe East,,school,,,Mawundwe Primary School,,4062449739,Primary,www.ubos.org,Point
Mawundwe West,,school,,,Mawundwe Seventh-day Adventist Primary School,,4062449740,Primary,www.ubos.org,Point
Mawuuki East Lci,,school,,,Saint Joan Of Arc Primary School,,4032724156,Primary,www.ubos.org,Point
Mawuuki East Lci,,school,,,Saint Kizito Nursery School,,4032724162,Kindergarten,www.ubos.org,Point
Mawuuki West Lci,,school,,,Mawuuki Quran Primary School,,4032724138,Primary,www.ubos.org,Point
Mayanga C,,school,,,Back Academy Primary School,,4025798353,Primary,www.ubos.org,Point
Mayanga D,,school,,,Centre Point,,4025798358,Other,www.ubos.org,Point
Mayanga D,,school,,,Makoomi Primary School,,4025798379,Primary,www.ubos.org,Point
Mayanja,,school,,,Bujengwe Primary School,,4023578494,Primary,www.ubos.org,Point
Mayanja,,school,,,Mayanja Primary School,,4030505974,Primary,www.ubos.org,Point
Mayebeye,,school,,,Bumangula Primary School,,3995884115,Primary,www.ubos.org,Point
